,precision,recall,f1-score,support
0,0.999736184881635,0.9996306978052898,0.9996834385607006,56864.0
1,0.7980769230769231,0.8469387755102041,0.8217821782178217,98.0
accuracy,0.9993679997191109,0.9993679997191109,0.9993679997191109,0.9993679997191109
macro avg,0.8989065539792791,0.923284736657747,0.9107328083892612,56962.0
weighted avg,0.9993892411707951,0.9993679997191109,0.9993773691896531,56962.0
