,precision,recall,f1-score,support
0,0.9997710703342373,0.9983996904895892,0.9990849098108227,56864.0
1,0.48295454545454547,0.8673469387755102,0.6204379562043796,98.0
accuracy,0.9981742214107651,0.9981742214107651,0.9981742214107651,0.9981742214107651
macro avg,0.7413628078943914,0.9328733146325496,0.8097614330076011,56962.0
weighted avg,0.9988819158200312,0.9981742214107651,0.9984334684735552,56962.0
